,p,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0,500,0.187250996,0.141070694,0.160705515,0.091958363,0.142274933
1,0,1000,0.177622842,0.141418743,0.108068239,0.043394714,0.132516389
0,0,500,0.181075697,0.179247596,0.205042261,0.110982143,0.135526406
1,0,1000,0.17250996,0.194358682,0.260770492,0.162729179,0.12915724
0,0,500,0.178220452,0.177891127,0.207697805,0.120345517,0.125548935
1,0,1000,0.169721116,0.167464548,0.18687282,0.110550304,0.124715993
0,0,500,0.192098274,0.239840375,0.392777741,0.249860195,0.144635691
1,0,1000,0.193957503,0.250665091,0.367163347,0.210522828,0.149509778
0,0,500,0.175298805,0.18668849,0.245023094,0.153093335,0.126046165
1,0,1000,0.169123506,0.177253863,0.250972885,0.172659771,0.119297638
0,0,500,0.178552457,0.133966596,0.138714187,0.079709205,0.137823315
1,0,1000,0.169654714,0.157644663,0.207984616,0.141524496,0.124617442
0,0,500,0.198472776,0.250552237,0.405645269,0.24895139,0.151679872
1,0,1000,0.177954847,0.178661845,0.272695256,0.187430847,0.128477752
0,0,500,0.173505976,0.158183375,0.157477798,0.084710773,0.127916674
1,0,1000,0.166799469,0.173574729,0.196314892,0.116845676,0.123400665
0,0,500,0.178685259,0.185489606,0.279185289,0.187272049,0.130468095
1,0,1000,0.17622842,0.171910811,0.237272737,0.155955699,0.12923844
0,0,500,0.177556441,0.133547858,0.056627099,0.003034871,0.115802727
1,0,1000,0.173572377,0.202144775,0.314440616,0.213725637,0.12650476
0,0.05,500,0.18187251,0.174562749,0.225818644,0.136957052,0.135198557
1,0.05,1000,0.177357238,0.197784187,0.265245691,0.161683854,0.131820091
0,0.05,500,0.174501992,0.135813114,0.096070284,0.045554482,0.112175647
1,0.05,1000,0.169455511,0.156532676,0.11698288,0.048009569,0.120092487
0,0.05,500,0.179282869,0.187929599,0.281744844,0.188476744,0.12863622
1,0.05,1000,0.172576361,0.168384247,0.2204468,0.14372939,0.126234862
0,0.05,500,0.189575033,0.223811558,0.291507859,0.158162306,0.142401207
1,0.05,1000,0.179880478,0.225969857,0.329569239,0.203250105,0.134960855
0,0.05,500,0.175232404,0.190056585,0.260902325,0.166819657,0.126551799
1,0.05,1000,0.17310757,0.189855551,0.268884996,0.175977965,0.127023273
0,0.05,500,0.174501992,0.166867343,0.212878659,0.135366215,0.128488664
1,0.05,1000,0.173572377,0.143248651,0.121866103,0.059143713,0.129525689
0,0.05,500,0.171779548,0.156174598,0.121429341,0.054054749,0.115989459
1,0.05,1000,0.175830013,0.192092543,0.301880111,0.208998253,0.125022018
0,0.05,500,0.180278884,0.163050481,0.152386281,0.070484637,0.133135419
1,0.05,1000,0.170252324,0.204276236,0.296003622,0.193091027,0.127316961
0,0.05,500,0.174966799,0.190812259,0.224343908,0.125913732,0.130084802
1,0.05,1000,0.170252324,0.178348639,0.150926247,0.063918508,0.122181381
0,0.05,500,0.172775564,0.129378133,0.078397017,0.02744122,0.124717959
1,0.05,1000,0.169256308,0.152585268,0.152478562,0.088619605,0.121307298
0,0.1,500,0.170252324,0.170863756,0.164940831,0.085007234,0.122785567
1,0.1,1000,0.168990704,0.183515532,0.226042463,0.139185366,0.123027743
0,0.1,500,0.1812749,0.12844,0.036938438,0.015259466,0.117092299
1,0.1,1000,0.174302789,0.156003251,0.112877361,0.041555399,0.122151152
0,0.1,500,0.187118194,0.254486767,0.361670638,0.207387423,0.141171552
1,0.1,1000,0.173373174,0.205554353,0.256176068,0.147026449,0.131042593
0,0.1,500,0.178419655,0.231035149,0.385168805,0.261427892,0.127959239
1,0.1,1000,0.172841965,0.208466361,0.306373595,0.201613571,0.12270186
0,0.1,500,0.177423639,0.194334891,0.27798536,0.181318835,0.124668412
1,0.1,1000,0.169521912,0.187487271,0.238093061,0.150662239,0.117774295
0,0.1,500,0.20312085,0.222409132,0.329522264,0.189295296,0.155557534
1,0.1,1000,0.19123506,0.240246917,0.346888586,0.197954932,0.151813126
0,0.1,500,0.175431607,0.15977165,0.203762749,0.132252516,0.126847453
1,0.1,1000,0.169455511,0.183823181,0.295938519,0.214338552,0.119790394
0,0.1,500,0.191102258,0.163307702,0.272698278,0.191792653,0.138626028
1,0.1,1000,0.176427623,0.171469566,0.242010507,0.161432519,0.128929908
0,0.1,500,0.186653386,0.259416839,0.382608667,0.224590738,0.143200529
1,0.1,1000,0.192430279,0.323175596,0.547143056,0.33919839,0.149357749
0,0.1,500,0.175099602,0.195868605,0.265874947,0.168388217,0.12363586
1,0.1,1000,0.170584329,0.186628573,0.242139987,0.152911688,0.123278324
0,0.15,500,0.175697211,0.20462286,0.27620273,0.167433715,0.132981424
1,0.15,1000,0.176361222,0.213357799,0.315258516,0.201567874,0.131852286
0,0.15,500,0.187184595,0.09285532,0.049162011,0.017211883,0.138249174
1,0.15,1000,0.173439575,0.131407652,0.112641555,0.061483985,0.125401379
0,0.15,500,0.179880478,0.107404925,0.022514806,0.054984117,0.10656412
1,0.15,1000,0.172709163,0.130712578,0.021590436,0.026189686,0.107098018
0,0.15,500,0.186122178,0.196450966,0.27207723,0.169092526,0.127307473
1,0.15,1000,0.177158035,0.186139748,0.226668391,0.131981189,0.129409787
0,0.15,500,0.186918991,0.15223383,0.252678391,0.182315607,0.13694869
1,0.15,1000,0.17377158,0.189230624,0.310516979,0.222156215,0.123175299
0,0.15,500,0.178818061,0.177371531,0.169864707,0.082462467,0.120998224
1,0.15,1000,0.170385126,0.181827281,0.240073686,0.157343183,0.11784709
0,0.15,500,0.178685259,0.200755569,0.28000777,0.175978536,0.128051352
1,0.15,1000,0.174302789,0.181064086,0.194913562,0.103801386,0.129099289
0,0.15,500,0.177224436,0.234009581,0.421071438,0.297061493,0.128602059
1,0.15,1000,0.16686587,0.208443654,0.329868307,0.228906847,0.121988752
0,0.15,500,0.17563081,0.124978028,0.085389355,0.036099143,0.128351479
1,0.15,1000,0.171181939,0.142797037,0.141203894,0.082028343,0.126884122
0,0.15,500,0.196679947,0.167780603,0.249110691,0.156545194,0.148716894
1,0.15,1000,0.175763612,0.150038862,0.179438253,0.112821459,0.131267418
0,0.2,500,0.196082337,0.20612492,0.303902484,0.181499911,0.149038304
1,0.2,1000,0.17875166,0.215015819,0.320252061,0.205181387,0.130566646
0,0.2,500,0.179614874,0.129499592,0.138982122,0.085072353,0.134264556
1,0.2,1000,0.177224436,0.173803144,0.272762747,0.191907468,0.128602059
0,0.2,500,0.170252324,0.187427354,0.236724668,0.148003229,0.120066731
1,0.2,1000,0.165405046,0.170392824,0.18151596,0.106755715,0.118008066
0,0.2,500,0.182270916,0.267254445,0.428729203,0.270019553,0.139112887
1,0.2,1000,0.176095618,0.209773284,0.2898671,0.177069559,0.133572732
0,0.2,500,0.180411687,0.10501109,0.009042479,0.045804104,0.122457176
1,0.2,1000,0.170119522,0.133808468,0.078458956,0.025509939,0.122588465
0,0.2,500,0.191367862,0.20914619,0.243093931,0.119460132,0.141134884
1,0.2,1000,0.17875166,0.187628388,0.206393946,0.106664892,0.133889668
0,0.2,500,0.179150066,0.201928897,0.346177597,0.244563879,0.129043304
1,0.2,1000,0.169189907,0.179231328,0.253434392,0.17309161,0.120302468
0,0.2,500,0.193824701,0.147714231,0.17579078,0.097662527,0.147500118
1,0.2,1000,0.171314741,0.154170494,0.145956901,0.078279451,0.124362388
0,0.2,500,0.175830013,0.177008639,0.210409639,0.125299674,0.124417832
1,0.2,1000,0.178618858,0.253322044,0.38535193,0.239044218,0.13520303
0,0.2,500,0.175564409,0.16942073,0.205503956,0.125071759,0.128252927
1,0.2,1000,0.170717131,0.159805811,0.185551845,0.11466306,0.126496355
0,0.25,500,0.183001328,0.214426477,0.306085134,0.186568882,0.136571836
1,0.25,1000,0.173970784,0.173361699,0.174436289,0.091347733,0.123470953
0,0.25,500,0.182204515,0.186591363,0.202081608,0.100619712,0.136597592
1,0.25,1000,0.174767596,0.187278715,0.196010486,0.100847628,0.12586194
0,0.25,500,0.182071713,0.183584395,0.250733579,0.156569756,0.132775375
1,0.25,1000,0.179946879,0.213282496,0.307180221,0.19122772,0.133246848
0,0.25,500,0.174900398,0.174875213,0.212031087,0.127662795,0.1278716
1,0.25,1000,0.168326693,0.173844626,0.203230204,0.124027005,0.12204223
0,0.25,500,0.176560425,0.190125991,0.297935051,0.204725556,0.128522825
1,0.25,1000,0.173904382,0.201497482,0.290907825,0.187659334,0.130018446
0,0.25,500,0.181075697,0.193204329,0.290780634,0.190908411,0.133109663
1,0.25,1000,0.173638778,0.188877019,0.298943345,0.209384395,0.125092847
0,0.25,500,0.178486056,0.134155093,0.082657932,0.026668936,0.122922211
1,0.25,1000,0.180345286,0.122147762,0.067513742,0.015032122,0.135046528
0,0.25,500,0.180677291,0.161057631,0.151595391,0.074439166,0.125872311
1,0.25,1000,0.175763612,0.161782734,0.168946324,0.09177843,0.130663232
0,0.25,500,0.188645418,0.252842166,0.387730906,0.234407657,0.144646604
1,0.25,1000,0.173240372,0.178917782,0.207795476,0.120118173,0.128126654
0,0.25,500,0.17622842,0.199932998,0.288434504,0.188341366,0.123800768
1,0.25,1000,0.169322709,0.170984673,0.198920344,0.120276971,0.125030964
0,0.3,500,0.180942895,0.184863596,0.2467217,0.149797418,0.136839768
1,0.3,1000,0.173638778,0.185871816,0.222177016,0.130549721,0.125092847
0,0.3,500,0.179216467,0.138035462,0.187892816,0.131023831,0.131256505
1,0.3,1000,0.171912351,0.188679916,0.286833252,0.196294407,0.127364
0,0.3,500,0.180478088,0.14361012,0.128890465,0.065938899,0.124972471
1,0.3,1000,0.169654714,0.18417123,0.244251495,0.159138515,0.119783955
0,0.3,500,0.177091633,0.154948534,0.167021411,0.095936883,0.129009143
1,0.3,1000,0.171713147,0.158350248,0.158212632,0.088460807,0.122234859
0,0.3,500,0.175498008,0.165484034,0.172815208,0.097733357,0.119393681
1,0.3,1000,0.172111554,0.166175859,0.154317882,0.078348569,0.120107331
0,0.3,500,0.182005312,0.171423951,0.213940775,0.127344057,0.134489381
1,0.3,1000,0.176095618,0.263342623,0.428018806,0.277200881,0.133572732
0,0.3,500,0.172377158,0.163506569,0.146529223,0.070803375,0.123522465
1,0.3,1000,0.167596282,0.187296608,0.21199774,0.120664256,0.124885374
0,0.3,500,0.176826029,0.163869663,0.182079751,0.102845741,0.132240053
1,0.3,1000,0.175298805,0.15623275,0.198899217,0.128161467,0.131483837
0,0.3,500,0.179814077,0.173948193,0.2354901,0.148865194,0.134258117
1,0.3,1000,0.173638778,0.175469028,0.227363035,0.144002431,0.12750959
0,0.3,500,0.187118194,0.293553881,0.556699231,0.38069381,0.140567366
1,0.3,1000,0.181208499,0.157884331,0.197822794,0.121707296,0.135723509
0,0.35,500,0.181341301,0.202139219,0.256677634,0.146321568,0.134410147
1,0.35,1000,0.171978752,0.195784897,0.239321459,0.139799423,0.127160458
0,0.35,500,0.177158035,0.214750395,0.330723869,0.217839535,0.128805601
1,0.35,1000,0.170119522,0.17964126,0.19401489,0.109574096,0.119869628
0,0.35,500,0.17124834,0.161669881,0.212390266,0.143388374,0.121847093
1,0.35,1000,0.173638778,0.141081065,0.157056359,0.100685973,0.124186568
0,0.35,500,0.177556441,0.231180198,0.343750568,0.216090471,0.131511559
1,0.35,1000,0.176494024,0.199415027,0.286768236,0.183295814,0.132049389
0,0.35,500,0.184528552,0.226521648,0.400666742,0.276903278,0.134307122
1,0.35,1000,0.173439575,0.213932297,0.351151627,0.24445135,0.122078357
0,0.35,500,0.179681275,0.135350787,0.159490536,0.101025847,0.135873572
1,0.35,1000,0.170119522,0.179765226,0.265468636,0.183272394,0.124401022
0,0.35,500,0.174900398,0.150057096,0.137229862,0.069552412,0.128475786
1,0.35,1000,0.173439575,0.144606545,0.112201255,0.048644761,0.127516029
0,0.35,500,0.169588313,0.197559904,0.301206313,0.20708982,0.121800054
1,0.35,1000,0.166401062,0.151792385,0.130141668,0.066053143,0.122507265
0,0.35,500,0.181474104,0.213261213,0.327221232,0.213385192,0.130075856
1,0.35,1000,0.177357238,0.167149036,0.176751841,0.096619486,0.126684512
0,0.35,500,0.175365206,0.15284283,0.1716943,0.103504354,0.128561459
1,0.35,1000,0.172177955,0.186943544,0.244992955,0.154479676,0.124737276
0,0.4,500,0.178552457,0.162095739,0.180874638,0.102186558,0.132989829
1,0.4,1000,0.170385126,0.178312172,0.225259642,0.139480113,0.129628714
0,0.4,500,0.171314741,0.18544345,0.222644467,0.132663221,0.124060295
1,0.4,1000,0.169322709,0.223422909,0.338718451,0.223135279,0.125030964
0,0.4,500,0.1812749,0.214454199,0.298176229,0.179205907,0.135519967
1,0.4,1000,0.175365206,0.209201293,0.298938648,0.189114221,0.129769831
