,p,checkpoint,test_error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.0,500,0.1800132802124834,0.16334864265097493,0.17441715347051628,0.09452826405719933,0.13123074922394118
1,0.0,1000,0.17675962815405047,0.17688487276923384,0.21401176444853198,0.12564011901858224,0.1318394082862243
0,0.0,500,0.19150066401062418,0.09620463975008048,0.06399458154250293,0.02268813144367443,0.15160314554554055
1,0.0,1000,0.1854581673306773,0.09521858518973211,0.04847458065099902,0.01362121862095872,0.1414266059332855
0,0.0,500,0.17104913678618858,0.1566555593692725,0.15264647613577254,0.08455197523664054,0.12155143931329349
1,0.0,1000,0.16839309428950863,0.1741234706721433,0.22229749716731112,0.14447996773771588,0.12093240959764051
0,0.0,500,0.199203187250996,0.2488748994502972,0.38704029457625094,0.22661170044743356,0.16031625959378215
1,0.0,1000,0.18154050464807436,0.19166560135116173,0.24769878381431992,0.1434117936698977,0.1398413803552263
0,0.0,500,0.18247011952191236,0.11473709761839851,0.06404972534380254,0.01846341732304152,0.13185621797195712
1,0.0,1000,0.17915006640106243,0.13300826316409514,0.12338830845047988,0.06648326822422057,0.13236632573829066
0,0.0,500,0.18107569721115538,0.18811829629783122,0.27688169558957776,0.17977255318164503,0.13492222040061574
1,0.0,1000,0.17948207171314742,0.2154332733607342,0.297944336601063,0.1792287554743921,0.13436954681909696
0,0.0,500,0.18100929614873837,0.19925459274012944,0.30823613263821764,0.20424859095273706,0.13301111158339596
1,0.0,1000,0.18671978751660026,0.15390310371590138,0.15856167450949116,0.07882382039595559,0.14209070887548003
0,0.0,500,0.18293492695883135,0.2553115046391824,0.4729132788450561,0.3304462168644693,0.13133770536275713
1,0.0,1000,0.17516600265604249,0.2530358783886235,0.429344763522837,0.28913130029914585,0.1306825488642821
0,0.0,500,0.18758300132802125,0.1943413302170289,0.269472283711267,0.16284227981476607,0.13823629607922505
1,0.0,1000,0.17795484727755645,0.1895509509096798,0.2654983543337344,0.17102380771495856,0.12696728736865848
0,0.0,500,0.22151394422310758,0.4013500223691182,0.6674900058688988,0.3687205502410246,0.19584623839452175
1,0.0,1000,0.20763612217795485,0.3769266522602177,0.6331347221617895,0.366447681462496,0.17706157506233777
0,0.05,500,0.18320053120849933,0.20263163453271912,0.36792063954188853,0.26672135108596745,0.1265963309029564
1,0.05,1000,0.17802124833997343,0.1525477174924097,0.2008787518486036,0.1334109425579399,0.1294825820263017
0,0.05,500,0.17516600265604249,0.1674091044828483,0.2105066858428245,0.13318474099063715,0.12615115506110652
1,0.05,1000,0.17244355909694556,0.1612885534806069,0.19532246945696252,0.12202603488645075,0.12905868909204454
0,0.05,500,0.2040504648074369,0.21199238284536667,0.2708335874659863,0.1322079614954665,0.1635832962353465
1,0.05,1000,0.20245683930942895,0.20227694615189684,0.2587489334088995,0.12766222393840926,0.16514527309530969
0,0.05,500,0.1799468791500664,0.16105925572689245,0.19525301951571328,0.11668516454735983,0.13566359173116715
1,0.05,1000,0.1741699867197875,0.17735688794224194,0.24964980293104316,0.16561439144638196,0.12799590774419223
0,0.05,500,0.1895750332005312,0.19267937785146577,0.27303393120726416,0.1636825386670444,0.14663050752152196
1,0.05,1000,0.18293492695883135,0.13606531914903433,0.11139807402796087,0.04641644736729367,0.1400984000488965
0,0.05,500,0.17782204515272243,0.11626918613499411,0.019280317849887374,0.020941352673948144,0.11408228212786786
1,0.05,1000,0.17350597609561752,0.13908997937924958,0.05610030558257828,0.0010356147513125302,0.11130156293368809
0,0.05,500,0.18771580345285524,0.09318120313660712,0.051245756144048915,0.01727985760725581,0.1420585137136645
1,0.05,1000,0.17715803452855244,0.13708499308084854,0.11430657417917461,0.054098161198319894,0.1321286231417098
0,0.05,500,0.18824701195219123,0.23744545653150673,0.39924641420435364,0.2615638411082506,0.14133645948020246
1,0.05,1000,0.1711155378486056,0.1711951953344657,0.23672368065004423,0.16054656239307552,0.12285836229008984
0,0.05,500,0.18373173970783532,0.20011776408472634,0.3043018753178001,0.19781726911874503,0.13433287843542185
1,0.05,1000,0.18678618857901727,0.1541671040427876,0.18892098027261445,0.11193493163400359,0.13947042388952424
0,0.05,500,0.1952855245683931,0.25026213982765977,0.4497011976936242,0.296447435839582,0.15299126853170064
1,0.05,1000,0.18207171314741036,0.23469639089828936,0.35320478433059893,0.2163172442708456,0.14334862700472806
0,0.1,500,0.1843293492695883,0.21717696733651393,0.30404405714786376,0.1822967570349544,0.13491774717875604
1,0.1,1000,0.17350597609561752,0.18866792086714068,0.2270981257162919,0.1314813746429186,0.1294271381463904
0,0.1,500,0.1847941567065073,0.1375183740596781,0.14531848862640262,0.08089105138602726,0.13923272129294328
1,0.1,1000,0.1796812749003984,0.14934202216226677,0.15873897357629085,0.08930049450175964,0.13315473610588702
0,0.1,500,0.1801460823373174,0.08784133967498453,0.0409667031826203,0.06053062546447002,0.1130001836829263
1,0.1,1000,0.17118193891102257,0.12579666727319275,0.07953225065268638,0.02987231606985058,0.1302071436711203
0,0.1,500,0.18373173970783532,0.1743091194089666,0.19044205340412784,0.09859646497217317,0.13614543595669204
1,0.1,1000,0.1853917662682603,0.2009095644724765,0.23881486998089768,0.12227736996123162,0.14525526260008803
0,0.1,500,0.1853253652058433,0.20504336307170007,0.3191511522218013,0.20731659251329937,0.13760438829884603
1,0.1,1000,0.17065073041168657,0.23213405720360125,0.3657785322436198,0.2437704602459314,0.12518943242056002
0,0.1,500,0.18227091633466136,0.08166067097806354,0.0939700291903629,0.10552645844317343,0.09802824994060955
1,0.1,1000,0.17669322709163346,0.07879231274215703,0.10300123040402565,0.11093530349567104,0.09851063576698738
0,0.1,500,0.20232403718459496,0.17370296775803987,0.19146678554332808,0.08477817680394323,0.15679166165769454
1,0.1,1000,0.18585657370517927,0.22300525447106045,0.25323585033476215,0.12089274218562118,0.13929907742707737
0,0.1,500,0.17695883134130147,0.1589540933299829,0.23323467752824728,0.16190891274160302,0.13092669049322603
1,0.1,1000,0.18173970783532536,0.1703939069021432,0.2180043948158733,0.1305480075697555,0.1392307554824399
0,0.1,500,0.18592297476759628,0.1466895420144956,0.1402645091402322,0.06632447015424547,0.14121018624429715
1,0.1,1000,0.17197875166002657,0.17756829280851755,0.21877592876742957,0.13445798163083333,0.12564999373849228
0,0.1,500,0.18930942895086322,0.26954830549040243,0.40205544681530797,0.23393126328434394,0.1468404881781472
1,0.1,1000,0.1703851261620186,0.21389759423107635,0.3061926724611582,0.19529592134583074,0.1278161564388789
0,0.15,500,0.17795484727755645,0.26362987190277276,0.45986269923894546,0.31288018000161083,0.12726938028887025
1,0.15,1000,0.17430278884462153,0.1929210120690535,0.26501235845732635,0.1689560055088079,0.12668254573503268
0,0.15,500,0.17343957503320054,0.1812835543041411,0.24992971594074076,0.16443311659491244,0.12419300720684179
1,0.15,1000,0.1699867197875166,0.17820914703261606,0.22740863248287418,0.14384363302565728,0.12541229114191155
0,0.15,500,0.18107569721115538,0.16164392387731807,0.11918047411893018,0.03914658032926044,0.12646361863468802
1,0.15,1000,0.17051792828685258,0.14957952416593923,0.07896773069024476,0.016512143197016438,0.11290861302019284
0,0.15,500,0.18286852589641434,0.213216140002296,0.3206484886005512,0.2049311941671984,0.1324475257476544
1,0.15,1000,0.17669322709163346,0.20364575204096763,0.27379772273096836,0.16607022187746157,0.13143876407006305
0,0.15,500,0.18107569721115538,0.1453420190330174,0.16273822370703328,0.09868614589658364,0.1282761761559582
1,0.15,1000,0.17569721115537848,0.13832108670165102,0.11450088361441041,0.05455284919724146,0.1302625875510316
0,0.15,500,0.1802788844621514,0.21207073443542954,0.3373087900443343,0.22311128831503252,0.1355521623704915
1,0.15,1000,0.1741699867197875,0.20944597622761407,0.31625098698707427,0.20765817972856954,0.1298084652654623
0,0.15,500,0.20843293492695883,0.28596719611894444,0.41690043645968333,0.22095494761662948,0.16495210212441735
1,0.15,1000,0.18227091633466136,0.20394784496117935,0.28769747742374535,0.17806918683392636,0.1327689357649554
0,0.15,500,0.18645418326693228,0.16593137664445815,0.2203015463521254,0.13416094926972877,0.14169650369168185
1,0.15,1000,0.1794156706507304,0.1696892039552669,0.2272701531064753,0.14343349988090148,0.13547936720399423
0,0.15,500,0.18180610889774237,0.12958723134666988,0.1471967636962599,0.09459452512236877,0.13056861209225
1,0.15,1000,0.17350597609561752,0.16063482119178224,0.2007437378079321,0.13061655349924112,0.12308318682194463
0,0.15,500,0.18306772908366534,0.2574379499436845,0.4131622168722083,0.2620196715393302,0.1384829451195253
1,0.15,1000,0.18127490039840638,0.2729292789039989,0.43826697804756887,0.2784741219123629,0.13249903800655904
0,0.2,500,0.1796812749003984,0.12722091704217492,0.07422200275898727,0.01814582118309127,0.13466520070694554
1,0.2,1000,0.17709163346613546,0.17456668070348974,0.19341344941862487,0.10386878938177857,0.13595727980851247
0,0.2,500,0.18844621513944224,0.2593084587562225,0.42805630101948505,0.2723141277159183,0.14314257796910945
1,0.2,1000,0.1801460823373174,0.22661071140856726,0.3369614372928056,0.20934041108136348,0.13746971022007426
0,0.2,500,0.1900398406374502,0.12766771768658366,0.14483087952684737,0.08688996264818061,0.1397680435878762
1,0.2,1000,0.1839973439575033,0.1430352808223491,0.16470764665464832,0.09707188925719629,0.13895638450218395
0,0.2,500,0.18413014608233733,0.20515425083152283,0.29564408482936033,0.18320499060063944,0.13643465081217754
1,0.2,1000,0.1749667994687915,0.16066647475274468,0.16557652967471037,0.09009676971595137,0.12917852329558666
0,0.2,500,0.18552456839309428,0.1937920466556639,0.2350960253924364,0.12916337979414516,0.1345770200643659
