,p,checkpoint,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.0,500.0,0.1743691899070385,0.1542368501970755,0.07139344163971006,0.14200755746175903,0.12798946871182915
1,0.0,1000.0,0.17237715803452855,0.18643594363347296,0.15741115733518557,0.24790490116987746,0.1259392085939779
2,0.0,500.0,0.17363877822045154,0.23749195396769862,0.23631666163044485,0.3653038231055354,0.12811377613723085
3,0.0,1000.0,0.16752988047808764,0.2009367448115792,0.1358460367029179,0.2345027665054864,0.1178386852290263
4,0.0,500.0,0.17689243027888446,0.17009716981258866,0.10834598100935028,0.19002933235678954,0.12659883831431262
5,0.0,1000.0,0.17217795484727755,0.17668133114497167,0.14311647495703028,0.2251443755820962,0.12292471842422392
6,0.0,500.0,0.18240371845949535,0.21788187087629876,0.32137701917743744,0.43065027192714517,0.12420534367071501
7,0.0,1000.0,0.1705843293492696,0.19457903281360983,0.15550272441508894,0.2519565938817823,0.1253929740448222
8,0.0,500.0,0.1804780876494024,0.20916035198519078,0.330285133930178,0.429488580052268,0.11983689148711985
9,0.0,1000.0,0.16925630810092962,0.20562179278267115,0.23081585078922068,0.328465285272153,0.11798427556202062
10,0.0,500.0,0.17443559096945552,0.17567311106823327,0.1702275325007669,0.25287163617181624,0.1283901129279903
11,0.0,1000.0,0.1702523240371846,0.20560050987507855,0.21197600207008704,0.3143847528875394,0.12610858924592128
12,0.0,500.0,0.17848605577689244,0.20070961346127655,0.25020006843168624,0.34773753751009295,0.1229222110128676
13,0.0,1000.0,0.16852589641434262,0.17183943957871797,0.13445798163083328,0.21060691187612401,0.11992114050869274
14,0.0,500.0,0.17775564409030545,0.16318732583395348,0.1746356069827738,0.2474281972329208,0.12727581932123333
15,0.0,1000.0,0.1704515272244356,0.14066198588463807,0.03285063670600247,0.09116350423178732,0.12277912809122948
16,0.0,500.0,0.17729083665338646,0.2505964279096869,0.3583078523360739,0.4896553336913429,0.122054566446411
