,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
0,0.0,500.0,0.17118193891102257,0.20807859454819363,0.1917960804295088,0.2968781036102807,0.12416528526688608
1,0.0,1000.0,0.16666666666666666,0.2252572909955789,0.2531104143544316,0.3662329695360699,0.12169309802528117
2,0.0,500.0,0.17802124833997343,0.1264994044095657,0.04112127431452639,0.09410975420192125,0.13310769706884218
3,0.0,1000.0,0.17715803452855244,0.13536258201266138,0.04953014621417973,0.1093466802791952,0.13394118066298
4,0.0,500.0,0.18207171314741036,0.2522077506251428,0.22181805511206976,0.3709391922400601,0.13911932612176425
5,0.0,1000.0,0.17164674634794155,0.1963736974474412,0.1313002991458606,0.23060102668499738,0.12455305141832118
6,0.0,500.0,0.17729083665338646,0.18841001856467307,0.20849786736476889,0.30039720967945827,0.12870061069106853
7,0.0,1000.0,0.1693891102257636,0.18332147795811904,0.18279542867196263,0.26723963187946986,0.12331695779751872
8,0.0,500.0,0.17609561752988048,0.18838534563692672,0.2740837551288064,0.3595724880527711,0.12330157232143624
9,0.0,1000.0,0.1701195219123506,0.21180781731024925,0.2855617710211801,0.3853055092182696,0.11775497780830624
10,0.0,500.0,0.16925630810092962,0.1758008085137889,0.12707215772875352,0.20919812641305258,0.12493241272688982
11,0.0,1000.0,0.1691899070385126,0.17043003368496534,0.1369347745495818,0.2134169788678279,0.1233233968298818
12,0.0,500.0,0.18127490039840638,0.23139912490541292,0.2501332361504378,0.3767435582594359,0.1303843875650771
13,0.0,1000.0,0.16912350597609563,0.2138782771339871,0.21454476077756218,0.32100419442665373,0.12080810217223859
14,0.0,500.0,0.17682602921646745,0.2023987461659424,0.15593456377084863,0.26360044431975715,0.13224005250238546
15,0.0,1000.0,0.1696547144754316,0.1619322561240062,0.07446201441635142,0.14827317519080596,0.1246174417419521
16,0.0,500.0,0.1836653386454183,0.2319199443330608,0.16248127125280826,0.295532619583737,0.13091130501714365
17,0.0,1000.0,0.17310756972111555,0.2077818574586391,0.14068652175676366,0.249511126246183,0.12521071532815264
18,0.0,500.0,0.1745019920318725,0.18624080685207722,0.1508661635014632,0.24268959484516867,0.12697819962288137
19,0.0,1000.0,0.16852589641434262,0.20542808021092587,0.16997962472246037,0.2725363953779798,0.12233788387038647
20,0.05,500.0,0.18147410358565738,0.21319485709470337,0.2108398532888623,0.3253954083199897,0.13158632021356087
21,0.05,1000.0,0.17257636122177955,0.21141896795710827,0.20506771481009067,0.31405240098443465,0.1277453270828851
22,0.05,500.0,0.17715803452855244,0.14570491166379762,0.030123651144631336,0.09649055469548173,0.12669095057789914
23,0.05,1000.0,0.16839309428950863,0.1770531702194713,0.0966886032681557,0.17939091846099586,0.12032822375721708
24,0.05,500.0,0.17682602921646745,0.1814403978993028,0.09787044933570421,0.18772806185569157,0.12257307905561099
25,0.05,1000.0,0.1702523240371846,0.17963732842260494,0.10941472629324756,0.19599453192969613,0.12490021756507452
26,0.05,500.0,0.17622841965471447,0.17866164451562638,0.07303111813833829,0.1638686246084703,0.12742588287608758
27,0.05,1000.0,0.17622841965471447,0.18208572534526102,0.10457424123940179,0.1961481759029995,0.12682169703566415
