,p,checkpoint,train_error,demographic parity,equal_opportunity,equal odds,overall accuracy
0,0.4,500.0,0.18240371845949535,0.21015711820685345,0.1334595370303636,0.21015711820685345,0.19637403845538565
1,0.4,1000.0,0.17649402390438246,0.23963879957099593,0.15515370020398894,0.23963879957099593,0.19637403845538565
2,0.4,500.0,0.18413014608233733,0.24214229936561887,0.15466595854695392,0.24214229936561887,0.19637403845538565
3,0.4,1000.0,0.17217795484727755,0.22584215973891308,0.15055201864567253,0.22584215973891308,0.19637403845538565
4,0.4,500.0,0.18087649402390438,0.15383979659397656,0.10930409886935605,0.15383979659397656,0.19637403845538565
5,0.4,1000.0,0.17264276228419656,0.17069349241099857,0.11976287270388068,0.17069349241099857,0.19637403845538565
6,0.4,500.0,0.19282868525896416,0.3005583443430423,0.17424689548874772,0.3005583443430423,0.19637403845538565
7,0.4,1000.0,0.17177954847277557,0.20346545913480146,0.1375446717899834,0.20346545913480146,0.19637403845538565
8,0.4,500.0,0.16945551128818062,0.18508198161963169,0.12871816257056282,0.18508198161963169,0.19637403845538565
9,0.4,1000.0,0.17204515272244356,0.20425888432511047,0.13804637471345052,0.20425888432511047,0.19637403845538565
10,0.4,500.0,0.1857901726427623,0.22400831931005027,0.14134614811768326,0.22400831931005027,0.19637403845538565
11,0.4,1000.0,0.17729083665338646,0.16334918425182787,0.11415188786711986,0.16334918425182787,0.19637403845538565
12,0.4,500.0,0.1804780876494024,0.21317858900982345,0.13670135914332865,0.21317858900982345,0.19637403845538565
13,0.4,1000.0,0.1698539176626826,0.2108399966452842,0.14296302725670484,0.2108399966452842,0.19637403845538565
14,0.4,500.0,0.1836653386454183,0.26603088878043946,0.16423634650828225,0.26603088878043946,0.19637403845538565
15,0.4,1000.0,0.17184594953519255,0.23165472038943266,0.1529494449102769,0.23165472038943266,0.19637403845538565
16,0.4,500.0,0.18253652058432934,0.09830370412257143,0.08045520789439009,0.09830370412257143,0.19637403845538565
17,0.4,1000.0,0.17324037184594954,0.15140855036499787,0.11103633899006005,0.15140855036499787,0.19637403845538565
18,0.4,500.0,0.18333333333333332,0.18345310702468143,0.1206260440484776,0.18345310702468143,0.19637403845538565
19,0.4,1000.0,0.1754316069057105,0.239561531182639,0.15197626841465467,0.239561531182639,0.19637403845538565
20,0.45,500.0,0.18944223107569721,0.18825385698540031,0.12196712799759271,0.18825385698540031,0.19637403845538565
21,0.45,1000.0,0.17762284196547146,0.16438763367987833,0.11457578080137709,0.16438763367987833,0.19637403845538565
22,0.45,500.0,0.1799468791500664,0.2762959500432187,0.16820110546350692,0.2762959500432187,0.19637403845538565
23,0.45,1000.0,0.17031872509960158,0.24128251804117573,0.15768831195872135,0.24128251804117573,0.19637403845538565
24,0.45,500.0,0.18346613545816734,0.21563539077534596,0.13495712356669595,0.21563539077534596,0.19637403845538565
25,0.45,1000.0,0.1741699867197875,0.18516175741934496,0.1278272692860102,0.18516175741934496,0.19637403845538565
26,0.45,500.0,0.17775564409030545,0.15368471821640967,0.10821949301305814,0.15368471821640967,0.19637403845538565
27,0.45,1000.0,0.17377158034528553,0.1493434463719172,0.10840121012887474,0.1493434463719172,0.19637403845538565
28,0.45,500.0,0.18233731739707834,0.1326199554118071,0.09579755650155616,0.1326199554118071,0.19637403845538565
29,0.45,1000.0,0.17317397078353253,0.16157024610202345,0.11631750896665347,0.16157024610202345,0.19637403845538565
30,0.45,500.0,0.18154050464807436,0.1960810925718019,0.13068722267905028,0.1960810925718019,0.19637403845538565
31,0.45,1000.0,0.16859229747675963,0.17106336567499483,0.12310467032244568,0.17106336567499483,0.19637403845538565
32,0.45,500.0,0.18466135458167332,0.21432596038719323,0.1350769577702381,0.21432596038719323,0.19637403845538565
33,0.45,1000.0,0.17324037184594954,0.20403799141426246,0.13478326969289287,0.20403799141426246,0.19637403845538565
34,0.45,500.0,0.18638778220451527,0.1842227418960415,0.11829104229700063,0.1842227418960415,0.19637403845538565
35,0.45,1000.0,0.17808764940239044,0.20809540423392656,0.13291276088035495,0.20809540423392656,0.19637403845538565
36,0.45,500.0,0.1804116865869854,0.167268869980511,0.11953554076066956,0.167268869980511,0.19637403845538565
37,0.45,1000.0,0.17715803452855244,0.19219841623473832,0.1326022631172768,0.19219841623473832,0.19637403845538565
38,0.45,500.0,0.18034528552456838,0.1474314549459,0.10604099384879839,0.1474314549459,0.19637403845538565
39,0.45,1000.0,0.17191235059760956,0.19219306040408118,0.13332038572973223,0.19219306040408118,0.19637403845538565
40,0.5,500.0,0.1852589641434263,0.1523341462227222,0.10711163843866423,0.1523341462227222,0.19637403845538565
41,0.5,1000.0,0.17735723771580345,0.17267292317285587,0.11634773831796547,0.17267292317285587,0.19637403845538565
42,0.5,500.0,0.1904382470119522,0.26556226362758517,0.15776754615758165,0.26556226362758517,0.19637403845538565
43,0.5,1000.0,0.18213811420982737,0.23138373942933044,0.1463846006749831,0.23138373942933044,0.19637403845538565
44,0.5,500.0,0.1851261620185923,0.19742305912971445,0.12915046034768649,0.19742305912971445,0.19637403845538565
45,0.5,1000.0,0.17835325365205842,0.1971111371569859,0.1306975933324201,0.1971111371569859,0.19637403845538565
46,0.5,500.0,0.18373173970783532,0.1968283613338634,0.12928371421680776,0.1968283613338634,0.19637403845538565
47,0.5,1000.0,0.18127490039840638,0.19942092437986353,0.129684358432969,0.19942092437986353,0.19637403845538565
48,0.5,500.0,0.18074369189907039,0.2194511693774224,0.14054682549586417,0.2194511693774224,0.19637403845538565
49,0.5,1000.0,0.1790172642762284,0.1703091162797173,0.11740801225446151,0.1703091162797173,0.19637403845538565
50,0.5,500.0,0.17915006640106243,0.21154524119301352,0.1380785698752659,0.21154524119301352,0.19637403845538565
51,0.5,1000.0,0.17397078353253653,0.22858316153720842,0.14908161244844287,0.22858316153720842,0.19637403845538565
52,0.5,500.0,0.17722443559096945,0.20270978552987345,0.1369023933562345,0.20270978552987345,0.19637403845538565
53,0.5,1000.0,0.17244355909694556,0.21304032031798947,0.14199039236193556,0.21304032031798947,0.19637403845538565
54,0.5,500.0,0.17616201859229746,0.19293192432327627,0.13461443064180245,0.19293192432327627,0.19637403845538565
55,0.5,1000.0,0.17177954847277557,0.20367848880363598,0.13901060476535332,0.20367848880363598,0.19637403845538565
56,0.5,500.0,0.17317397078353253,0.23484001542078042,0.1524992542457144,0.23484001542078042,0.19637403845538565
57,0.5,1000.0,0.1691899070385126,0.24312029009104533,0.1564239547971102,0.24312029009104533,0.19637403845538565
58,0.5,500.0,0.1847941567065073,0.22963164061068425,0.14172496782539895,0.22963164061068425,0.19637403845538565
59,0.5,1000.0,0.17669322709163346,0.21661392310162533,0.14032145936315643,0.21661392310162533,0.19637403845538565
60,0.55,500.0,0.17715803452855244,0.19135957680994325,0.12976610004318567,0.19135957680994325,0.19637403845538565
61,0.55,1000.0,0.16912350597609563,0.18410683931350608,0.1274196444366329,0.18410683931350608,0.19637403845538565
62,0.55,500.0,0.18466135458167332,0.1672828312469431,0.1172951586841354,0.1672828312469431,0.19637403845538565
63,0.55,1000.0,0.1756308100929615,0.1901467319072368,0.13150138917609894,0.1901467319072368,0.19637403845538565
64,0.55,500.0,0.1949535192563081,0.09655018109427484,0.07051494666906549,0.09655018109427484,0.19637403845538565
65,0.55,1000.0,0.1747675962815405,0.1619644512858216,0.11654036768800484,0.1619644512858216,0.19637403845538565
66,0.55,500.0,0.18266932270916333,0.17280170382011745,0.11549100600573162,0.17280170382011745,0.19637403845538565
67,0.55,1000.0,0.17390438247011952,0.18146330560945434,0.12315421677084695,0.18146330560945434,0.19637403845538565
68,0.55,500.0,0.18134130146082336,0.22673840885412283,0.14525742900349997,0.22673840885412283,0.19637403845538565
69,0.55,1000.0,0.17184594953519255,0.20774681387752292,0.14054235227400447,0.20774681387752292,0.19637403845538565
70,0.55,500.0,0.1752324037184595,0.18145937398844758,0.1254897601231769,0.18145937398844758,0.19637403845538565
71,0.55,1000.0,0.17257636122177955,0.19136208422129963,0.13180795531817036,0.19136208422129963,0.19637403845538565
72,0.55,500.0,0.18393094289508632,0.1668326405823806,0.11308070167640107,0.1668326405823806,0.19637403845538565
73,0.55,1000.0,0.17768924302788844,0.1708687704944521,0.11791812002079506,0.1708687704944521,0.19637403845538565
74,0.55,500.0,0.18134130146082336,0.18427730316715543,0.12281850447916944,0.18427730316715543,0.19637403845538565
75,0.55,1000.0,0.17430278884462153,0.17729053180810778,0.12318891934401865,0.17729053180810778,0.19637403845538565
76,0.55,500.0,0.18240371845949535,0.1928795294555742,0.12678434663610005,0.1928795294555742,0.19637403845538565
77,0.55,1000.0,0.17317397078353253,0.19746277652559882,0.1338106347981236,0.19746277652559882,0.19637403845538565
78,0.55,500.0,0.18678618857901727,0.1781215079908893,0.11887197941932806,0.1781215079908893,0.19637403845538565
79,0.55,1000.0,0.1747675962815405,0.1546122798846374,0.11226009614698934,0.1546122798846374,0.19637403845538565
80,0.6,500.0,0.17768924302788844,0.1689699981411055,0.11666664092391009,0.1689699981411055,0.19637403845538565
81,0.6,1000.0,0.17370517928286852,0.13453946907189332,0.10225686880768436,0.13453946907189332,0.19637403845538565
82,0.6,500.0,0.17782204515272243,0.17385411451459995,0.12308840223756576,0.17385411451459995,0.19637403845538565
83,0.6,1000.0,0.1693891102257636,0.17270369412502085,0.12318248031165559,0.17270369412502085,0.19637403845538565
84,0.6,500.0,0.18167330677290836,0.1383795795937717,0.09826384631165105,0.1383795795937717,0.19637403845538565
85,0.6,1000.0,0.1748339973439575,0.15504369505296367,0.11106710994222502,0.15504369505296367,0.19637403845538565
86,0.6,500.0,0.17722443559096945,0.1681098758087179,0.11809197389459816,0.1681098758087179,0.19637403845538565
87,0.6,1000.0,0.17264276228419656,0.19503905253068915,0.13284193152436108,0.19503905253068915,0.19637403845538565
88,0.6,500.0,0.18745019920318726,0.17057813142931616,0.11264393067741768,0.17057813142931616,0.19637403845538565
89,0.6,1000.0,0.17410358565737052,0.18685197332571668,0.1279664205866416,0.18685197332571668,0.19637403845538565
90,0.6,500.0,0.1756308100929615,0.21464791200534716,0.1407310500230371,0.21464791200534716,0.19637403845538565
91,0.6,1000.0,0.17138114209827357,0.19582210706762837,0.13281027796339867,0.19582210706762837,0.19637403845538565
92,0.6,500.0,0.1795484727755644,0.20234777550789068,0.13273104376453837,0.20234777550789068,0.19637403845538565
93,0.6,1000.0,0.17118193891102257,0.18227299888464327,0.12708982957646553,0.18227299888464327,0.19637403845538565
94,0.6,500.0,0.17091633466135459,0.1836516338262309,0.12948671424021693,0.1836516338262309,0.19637403845538565
95,0.6,1000.0,0.1738379814077025,0.16682261093695525,0.12086767826606529,0.16682261093695525,0.19637403845538565
96,0.6,500.0,0.18718459495351925,0.23655402164610112,0.14356328147612146,0.23655402164610112,0.19637403845538565
97,0.6,1000.0,0.17277556440903055,0.19480833056732427,0.13021127588503548,0.19480833056732427,0.19637403845538565
98,0.6,500.0,0.17895086321381143,0.12967073817448135,0.1040862360146875,0.12967073817448135,0.19637403845538565
99,0.6,1000.0,0.17277556440903055,0.12702971188178594,0.10024917450501845,0.12702971188178594,0.19637403845538565
100,0.65,500.0,0.18227091633466136,0.1715784882640411,0.11653447025649474,0.1715784882640411,0.19637403845538565
101,0.65,1000.0,0.17675962815405047,0.15965574726464993,0.11149100287648225,0.15965574726464993,0.19637403845538565
102,0.65,500.0,0.1809428950863214,0.2264264868813943,0.14569921482519602,0.2264264868813943,0.19637403845538565
103,0.65,1000.0,0.1693227091633466,0.20101258899028568,0.13768829631247448,0.20101258899028568,0.19637403845538565
104,0.65,500.0,0.1804780876494024,0.15925564464934164,0.10989093342319362,0.15925564464934164,0.19637403845538565
105,0.65,1000.0,0.16826029216467464,0.15846025364852928,0.11266914520601704,0.15846025364852928,0.19637403845538565
106,0.65,500.0,0.18107569721115538,0.27632333097522993,0.1743252470788106,0.27632333097522993,0.19637403845538565
107,0.65,1000.0,0.17131474103585656,0.22505232516166632,0.1494382666397685,0.22505232516166632,0.19637403845538565
108,0.65,500.0,0.1853253652058433,0.1879805692068502,0.12397929552211838,0.1879805692068502,0.19637403845538565
109,0.65,1000.0,0.1749003984063745,0.2199503648895332,0.14467954089338184,0.2199503648895332,0.19637403845538565
110,0.65,500.0,0.17589641434262948,0.12001880919584489,0.09367253540670442,0.12001880919584489,0.19637403845538565
111,0.65,1000.0,0.16865869853917662,0.17408876809897159,0.1260785604875178,0.17408876809897159,0.19637403845538565
112,0.65,500.0,0.17822045152722443,0.20570746601389456,0.13449012321640058,0.20570746601389456,0.19637403845538565
113,0.65,1000.0,0.1696547144754316,0.2130176132007465,0.144501755398572,0.2130176132007465,0.19637403845538565
114,0.65,500.0,0.18652058432934926,0.23865274501064754,0.1490326076008946,0.23865274501064754,0.19637403845538565
115,0.65,1000.0,0.17443559096945552,0.1989024117706635,0.1348025867899821,0.1989024117706635,0.19637403845538565
116,0.65,500.0,0.17855245683930943,0.15090847224408963,0.10986517729374129,0.15090847224408963,0.19637403845538565
117,0.65,1000.0,0.17390438247011952,0.22231898601247593,0.1450925215734163,0.22231898601247593,0.19637403845538565
118,0.65,500.0,0.1949535192563081,0.31249253919750924,0.18014763678184706,0.31249253919750924,0.19637403845538565
119,0.65,1000.0,0.1800796812749004,0.24263397264366066,0.15096947254756665,0.24263397264366066,0.19637403845538565
120,0.7,500.0,0.19223107569721115,0.16200274447205562,0.1070740874461917,0.16200274447205562,0.19637403845538565
121,0.7,1000.0,0.17330677290836655,0.18981440963571303,0.12807534253596095,0.18981440963571303,0.19637403845538565
122,0.7,500.0,0.17656042496679947,0.15268937620439743,0.11057238765197394,0.15268937620439743,0.19637403845538565
123,0.7,1000.0,0.1750332005312085,0.13879954090702215,0.10189092716469486,0.13879954090702215,0.19637403845538565
124,0.7,500.0,0.18280212483399735,0.20111418929844457,0.13362695187180362,0.20111418929844457,0.19637403845538565
125,0.7,1000.0,0.16905710491367862,0.19457760860395942,0.1343658157909987,0.19457760860395942,0.19637403845538565
126,0.7,500.0,0.1800132802124834,0.1964075174118155,0.1301712174812066,0.1964075174118155,0.19637403845538565
127,0.7,1000.0,0.1700531208499336,0.15978005469005174,0.11471743951336481,0.15978005469005174,0.19637403845538565
128,0.7,500.0,0.1843293492695883,0.23719040264833993,0.14766183590132043,0.23719040264833993,0.19637403845538565
129,0.7,1000.0,0.1752988047808765,0.2351866399666807,0.15018946702283675,0.2351866399666807,0.19637403845538565
130,0.7,500.0,0.18751660026560424,0.17145418083863925,0.11076698283251671,0.17145418083863925,0.19637403845538565
131,0.7,1000.0,0.1700531208499336,0.19854880659154717,0.13500809422474763,0.19854880659154717,0.19637403845538565
132,0.7,500.0,0.18406374501992032,0.2017634483654095,0.1292391825911192,0.2017634483654095,0.19637403845538565
133,0.7,1000.0,0.1841965471447543,0.23278975530292928,0.1446537847639295,0.23278975530292928,0.19637403845538565
134,0.7,500.0,0.1750996015936255,0.19034884932184853,0.13078828138635615,0.19034884932184853,0.19637403845538565
135,0.7,1000.0,0.16872509960159363,0.1606328553812789,0.1170356315791089,0.1606328553812789,0.19637403845538565
136,0.7,500.0,0.19256308100929614,0.058634229884006545,0.049403686428270956,0.058634229884006545,0.19637403845538565
137,0.7,1000.0,0.17065073041168657,0.13233968700004098,0.1008558677567982,0.13233968700004098,0.19637403845538565
138,0.7,500.0,0.19017264276228418,0.059573044814401524,0.06086085128701713,0.059573044814401524,0.19637403845538565
139,0.7,1000.0,0.17808764940239044,0.10432732863142218,0.08238814122005542,0.10432732863142218,0.19637403845538565
140,0.75,500.0,0.1843293492695883,0.16616514762003234,0.11547223050949534,0.16616514762003234,0.19637403845538565
141,0.75,1000.0,0.16739707835325365,0.18135438366013495,0.12838190867803234,0.18135438366013495,0.19637403845538565
142,0.75,500.0,0.17702523240371845,0.22015031590073306,0.14471316026484762,0.22015031590073306,0.19637403845538565
143,0.75,1000.0,0.17403718459495351,0.2104760208127981,0.14058295227868628,0.2104760208127981,0.19637403845538565
144,0.75,500.0,0.17802124833997343,0.2177480754063245,0.14277290529802178,0.2177480754063245,0.19637403845538565
145,0.75,1000.0,0.17629482071713148,0.20377846430923596,0.13586089491597475,0.20377846430923596,0.19637403845538565
146,0.75,500.0,0.1888446215139442,0.251937511858802,0.15515871502670162,0.251937511858802,0.19637403845538565
147,0.75,1000.0,0.17397078353253653,0.23584538707821806,0.15467632920032373,0.23584538707821806,0.19637403845538565
148,0.75,500.0,0.17868525896414342,0.17259958640550566,0.11955485785775881,0.17259958640550566,0.19637403845538565
149,0.75,1000.0,0.1745019920318725,0.17856668383273916,0.1209603321305047,0.17856668383273916,0.19637403845538565
150,0.75,500.0,0.17782204515272243,0.15461336308634335,0.11120232962184967,0.15461336308634335,0.19637403845538565
151,0.75,1000.0,0.17071713147410358,0.1675403925414662,0.12082368824122966,0.1675403925414662,0.19637403845538565
152,0.75,500.0,0.17171314741035856,0.19352377369982646,0.13247205826036482,0.19352377369982646,0.19637403845538565
153,0.75,1000.0,0.16819389110225763,0.1947206915255975,0.13432270837496055,0.1947206915255975,0.19637403845538565
154,0.75,500.0,0.1804116865869854,0.20615264185574433,0.13399289351479315,0.20615264185574433,0.19637403845538565
155,0.75,1000.0,0.1754316069057105,0.1873075198209363,0.12826600609549693,0.1873075198209363,0.19637403845538565
156,0.75,500.0,0.20637450199203186,0.26720720571450685,0.1526546736312257,0.26720720571450685,0.19637403845538565
157,0.75,1000.0,0.18154050464807436,0.19039175614497822,0.12708732216510918,0.19039175614497822,0.19637403845538565
158,0.75,500.0,0.18725099601593626,0.14307818764547875,0.10009911095016427,0.14307818764547875,0.19637403845538565
159,0.75,1000.0,0.17363877822045154,0.1502922909477375,0.11275034521538072,0.1502922909477375,0.19637403845538565
160,0.8,500.0,0.18167330677290836,0.17260799124837212,0.12126886408307948,0.17260799124837212,0.19637403845538565
161,0.8,1000.0,0.17124833997343958,0.20525226052661938,0.13973855643032562,0.20525226052661938,0.19637403845538565
162,0.8,500.0,0.1759628154050465,0.2326738527203939,0.1507060138215334,0.2326738527203939,0.19637403845538565
163,0.8,1000.0,0.17191235059760956,0.2201825110625485,0.1462577858382249,0.2201825110625485,0.19637403845538565
164,0.8,500.0,0.19355909694555112,0.1647621807586428,0.10565573510871965,0.1647621807586428,0.19637403845538565
