,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,0.0,500,0.25,0.019999999999999962,0.040000000000000036,0.026666666666666616,0.046666666666666634
1,0.0,1000,0.25666666666666665,0.07333333333333336,0.1466666666666666,0.09333333333333327,0.020000000000000018
0,0.0,500,0.28,0.09333333333333332,0.18666666666666665,0.09333333333333338,0.0
1,0.0,1000,0.24666666666666667,0.10666666666666663,0.21333333333333326,0.1333333333333333,0.026666666666666727
0,0.0,500,0.3,0.11999999999999997,0.24000000000000005,0.14666666666666667,0.026666666666666727
1,0.0,1000,0.27,0.1,0.20000000000000012,0.10666666666666674,0.006666666666666599
0,0.0,500,0.27666666666666667,0.11333333333333331,0.22666666666666663,0.18666666666666665,0.07333333333333336
1,0.0,1000,0.28,0.06666666666666665,0.1333333333333333,0.08000000000000002,0.013333333333333308
0,0.0,500,0.3333333333333333,0.14666666666666667,0.29333333333333333,0.21333333333333332,0.06666666666666665
1,0.0,1000,0.33,0.12666666666666668,0.25333333333333335,0.15999999999999998,0.033333333333333326
0,0.0,500,0.25666666666666665,0.14,0.28,0.1333333333333333,0.00666666666666671
1,0.0,1000,0.2733333333333333,0.1333333333333333,0.2666666666666667,0.16000000000000003,0.026666666666666616
0,0.0,500,0.2833333333333333,0.18000000000000002,0.36000000000000004,0.22666666666666668,0.046666666666666634
1,0.0,1000,0.27,0.18,0.36000000000000004,0.2,0.020000000000000018
0,0.0,500,0.3333333333333333,0.013333333333333336,0.026666666666666672,0.040000000000000036,0.026666666666666727
1,0.0,1000,0.3233333333333333,0.05999999999999997,0.11999999999999994,0.09333333333333332,0.033333333333333326
0,0.0,500,0.32,0.37333333333333335,0.7466666666666667,0.4,0.026666666666666727
1,0.0,1000,0.3,0.28,0.56,0.29333333333333333,0.013333333333333308
0,0.0,500,0.25333333333333335,0.14666666666666667,0.29333333333333333,0.18666666666666665,0.040000000000000036
1,0.0,1000,0.2733333333333333,0.18666666666666665,0.3733333333333333,0.1466666666666666,0.040000000000000036
0,0.1,500,0.31,0.19333333333333333,0.3866666666666667,0.28,0.08666666666666667
1,0.1,1000,0.2966666666666667,0.19333333333333333,0.3866666666666667,0.2533333333333333,0.05999999999999994
0,0.1,500,0.31666666666666665,0.24666666666666667,0.49333333333333335,0.3466666666666667,0.09999999999999998
1,0.1,1000,0.29,0.13999999999999999,0.28,0.21333333333333337,0.07333333333333336
0,0.1,500,0.33666666666666667,0.24666666666666665,0.4933333333333334,0.36,0.11333333333333329
1,0.1,1000,0.3466666666666667,0.19999999999999998,0.4,0.28,0.08000000000000007
0,0.1,500,0.35,0.09999999999999998,0.19999999999999996,0.10666666666666669,0.00666666666666671
1,0.1,1000,0.33,0.0866666666666667,0.17333333333333328,0.09333333333333332,0.00666666666666671
0,0.1,500,0.2966666666666667,0.11333333333333334,0.22666666666666674,0.14666666666666667,0.033333333333333326
1,0.1,1000,0.3,0.12000000000000002,0.24000000000000005,0.15999999999999998,0.039999999999999925
0,0.1,500,0.2833333333333333,0.2066666666666667,0.4133333333333333,0.30666666666666664,0.10000000000000009
1,0.1,1000,0.2733333333333333,0.22666666666666666,0.45333333333333337,0.3333333333333333,0.10666666666666669
0,0.1,500,0.31666666666666665,0.13999999999999999,0.28,0.16000000000000003,0.020000000000000018
1,0.1,1000,0.3,0.10666666666666663,0.21333333333333337,0.14666666666666667,0.039999999999999925
0,0.1,500,0.27,0.006666666666666654,0.013333333333333308,0.053333333333333344,0.046666666666666634
1,0.1,1000,0.25666666666666665,0.019999999999999962,0.039999999999999925,0.06666666666666665,0.046666666666666745
0,0.1,500,0.36666666666666664,0.10666666666666666,0.21333333333333337,0.14666666666666667,0.040000000000000036
1,0.1,1000,0.33,0.033333333333333326,0.06666666666666671,0.026666666666666672,0.00666666666666671
0,0.1,500,0.29333333333333333,0.1466666666666667,0.2933333333333334,0.1733333333333334,0.026666666666666616
1,0.1,1000,0.27666666666666667,0.0733333333333333,0.14666666666666672,0.06666666666666665,0.00666666666666671
0,0.2,500,0.3,0.17333333333333334,0.34666666666666673,0.2,0.026666666666666727
1,0.2,1000,0.2966666666666667,0.16666666666666666,0.3333333333333333,0.19999999999999996,0.033333333333333326
0,0.2,500,0.25333333333333335,0.026666666666666672,0.053333333333333344,0.0,0.026666666666666727
1,0.2,1000,0.26666666666666666,0.013333333333333364,0.026666666666666727,0.013333333333333308,0.026666666666666727
0,0.2,500,0.2866666666666667,0.14666666666666664,0.2933333333333334,0.1866666666666667,0.039999999999999925
1,0.2,1000,0.28,0.14666666666666667,0.29333333333333333,0.21333333333333332,0.06666666666666665
0,0.2,500,0.26666666666666666,0.053333333333333344,0.10666666666666669,0.026666666666666727,0.026666666666666727
1,0.2,1000,0.2833333333333333,0.11333333333333331,0.22666666666666668,0.13333333333333336,0.020000000000000018
0,0.2,500,0.28,0.16,0.32,0.17333333333333328,0.013333333333333308
