,C,checkpoint,test error,demographic parity,equal odds,equal_opportunity,overall accuracy violation
0,0.0,500,0.17875166002656043,0.12843823516674116,0.09760872491592032,0.04282578309440316,0.13328548256365202
1,0.0,1000,0.17463479415670652,0.12652461893816505,0.079592661334843,0.02959984600014509,0.1268732092945687
0,0.0,500,0.1802788844621514,0.1145296243731296,0.07069800676805676,0.02614455993798881,0.13253123316837445
1,0.0,1000,0.1698539176626826,0.11506582927685996,0.002386732664502511,0.03841770861239613,0.12159007350747197
0,0.0,500,0.17782204515272243,0.1519676629788797,0.14598096357915857,0.07880211418495175,0.1225408838937957
1,0.0,1000,0.1711155378486056,0.1829737702105128,0.24040160756525325,0.15370682106256472,0.1240667339709366
0,0.0,500,0.18718459495351925,0.15015869607067178,0.17735012315614657,0.1020717435970962,0.14157219626627993
1,0.0,1000,0.18293492695883135,0.15987914758685426,0.21127087617147466,0.13266093584615096,0.13798374960741455
0,0.0,500,0.1811420982735724,0.17456525649383936,0.23906619574672122,0.15106951642560396,0.13562495753698867
1,0.0,1000,0.19017264276228418,0.21867956869555896,0.3268747826134018,0.19820398240425985,0.14630909750422105
0,0.0,500,0.17463479415670652,0.22457888577900786,0.4253540830816614,0.31421911049089735,0.12052925797012293
1,0.0,1000,0.17051792828685258,0.22659444332368728,0.3858542191230637,0.2702680317207713,0.1243881439882375
0,0.0,500,0.17822045152722443,0.18851087667907046,0.2214699765735807,0.12561841280757846,0.12585102795139824
1,0.0,1000,0.16925630810092962,0.17725976085594278,0.2258004981325087,0.14568466244842632,0.11979683308329092
0,0.0,500,0.1801460823373174,0.19234523018447466,0.1570792972168833,0.06019303676175314,0.11028134740102102
1,0.0,1000,0.1750332005312085,0.162934919777179,0.09081681288090848,0.01408104756459172,0.11719335778306805
0,0.0,500,0.17363877822045154,0.1673005235414734,0.157938167626824,0.0808939074664225,0.11965517437130324
1,0.0,1000,0.16726427622841966,0.16966378883375902,0.16687176147042038,0.0926660996395055,0.11472564376332273
0,0.0,500,0.17808764940239044,0.13141659855367296,0.1289136015407954,0.07491441755095674,0.1304874120828864
1,0.0,1000,0.17742363877822045,0.12008265791862271,0.0855730409051998,0.040484939602467906,0.12708515576169732
0,0.05,500,0.1757636122177955,0.15097089675721703,0.18624362493814428,0.11936645282240721,0.13096532468740452
1,0.05,1000,0.17191235059760956,0.1595641766019164,0.21216494814527853,0.14311533252487219,0.1255514424425428
0,0.05,500,0.17516600265604249,0.1691782135801359,0.31512534804223813,0.2467670597966128,0.11678627453454371
1,0.05,1000,0.17197875166002657,0.2170483872821609,0.4030205167384601,0.2976972566205372,0.12111859993531682
0,0.05,500,0.1793492695883134,0.1441613692921263,0.14115185422809234,0.07652867419034404,0.13024523626444573
1,0.05,1000,0.17330677290836655,0.16609574247368888,0.20285561648217026,0.12738975386870371,0.1249021833755779
0,0.05,500,0.18227091633466136,0.1230674603379176,0.09360968774364509,0.039870882317492196,0.13820660832876597
1,0.05,1000,0.1754316069057105,0.14850799696727596,0.12961637492176037,0.06268925102718931,0.1283579177661749
0,0.05,500,0.1794156706507304,0.18554057712706062,0.24924899087542146,0.15341093113361837,0.13457308844335913
1,0.05,1000,0.1793492695883134,0.19912723630251825,0.264066586421568,0.15875237268878828,0.1314536079452926
0,0.05,500,0.17815405046480745,0.18552214263876882,0.21101541421293235,0.11705074283794997,0.1260545695756604
1,0.05,1000,0.1757636122177955,0.16630213251725182,0.13083030326199785,0.04769140165572694,0.13005904592676942
0,0.05,500,0.18100929614873837,0.1502452519106926,0.13158819992547904,0.060257584178685486,0.1308964611419141
1,0.05,1000,0.16679946879150068,0.16943557428175052,0.19359971299958517,0.11861815975885537,0.12098392185654505
0,0.05,500,0.18618857901726427,0.2298144409282068,0.37958236345714896,0.2467007987314433,0.14432322771000072
1,0.05,1000,0.1745683930942895,0.196613566447434,0.3272759965154202,0.23167838706858185,0.1267746579986192
0,0.05,500,0.17589641434262948,0.16662713314761507,0.19519110022487096,0.11489040362699354,0.13176661311972704
1,0.05,1000,0.17191235059760956,0.18912455056406627,0.2410701924161825,0.14709385251543572,0.12796818580423652
0,0.05,500,0.17609561752988048,0.13775750086590943,0.11633212534642795,0.058052690113563454,0.12753087320440015
1,0.05,1000,0.1693227091633466,0.15260458558197149,0.14795134393789555,0.08280176917044008,0.1235204994217809
0,0.1,500,0.17888446215139442,0.1602846060328197,0.15854069807044308,0.08252929910073453,0.12713863383110535
1,0.1,1000,0.17197875166002657,0.16049065506843818,0.167897751940433,0.09648296547969876,0.122931157456587
0,0.1,500,0.18173970783532536,0.1557963196456823,0.15760499430278518,0.08405158995139528,0.1280533174346069
1,0.1,1000,0.17828685258964144,0.1689674907297492,0.15450232339104608,0.06984887336196655,0.12957469428988821
0,0.1,500,0.17715803452855244,0.1979610894289122,0.33390127539904624,0.2364280487658591,0.12729513641832257
1,0.1,1000,0.1745683930942895,0.16706695315880776,0.23598173519307653,0.1605688398201583,0.12647256507840743
0,0.1,500,0.17151394422310756,0.18128606171549744,0.25779117140156355,0.172955089278217,0.1252622275870573
1,0.1,1000,0.16852589641434262,0.13743554924775553,0.08482484565388537,0.03030529785776831,0.1211295121895396
0,0.1,500,0.18339973439575033,0.21207215864507994,0.30656106389887494,0.18831851694026963,0.138069422838638
1,0.1,1000,0.1738379814077025,0.20217141422273127,0.2597684521727206,0.15557127034457463,0.12659687250380935
0,0.1,500,0.1794156706507304,0.17153646404970885,0.27501487186506873,0.19567977855095048,0.12822913711891337
1,0.1,1000,0.1689907038512616,0.16605263505765072,0.18968853737233038,0.11668630697951793,0.12091309250055127
0,0.1,500,0.18147410358565738,0.21261839319423564,0.3005324778635483,0.18243270646176762,0.1373260856975832
1,0.1,1000,0.1738379814077025,0.1801088019947601,0.20054008303388665,0.11052802643131038,0.1296178017059264
0,0.1,500,0.17629482071713148,0.17241841089054205,0.2392334740727689,0.15872838161346842,0.12661815541140198
1,0.1,1000,0.17357237715803453,0.18289704342300886,0.2691459393809003,0.18395442609634932,0.12287964519768246
0,0.1,500,0.17895086321381143,0.2514327599231256,0.41118615550148896,0.27015550215319895,0.1302581143291719
1,0.1,1000,0.1695219123505976,0.19722060070715824,0.2553162022293666,0.15743457719442655,0.12472243207026468
0,0.1,500,0.17948207171314742,0.198925319480815,0.3621592721689745,0.26672135108596745,0.12289001585105219
1,0.1,1000,0.17257636122177955,0.20907359555226146,0.36010028745476025,0.25981363504205,0.11898463239674562
0,0.15,500,0.18247011952191236,0.23485574190480737,0.312455808769852,0.1756163849904978,0.13699179761555613
1,0.15,1000,0.17443559096945552,0.20462625017775038,0.2562594604671612,0.15045831522102343,0.12446290496523815
0,0.15,500,0.17662682602921648,0.16868776391883603,0.18710251984587267,0.10459594745040562,0.1310381198539018
1,0.15,1000,0.16872509960159363,0.17811147834546398,0.18798737316074932,0.10589260794984268,0.11780005103484781
0,0.15,500,0.17423638778220452,0.1653252249935314,0.2567937093340031,0.18781698922286627,0.11842748559336713
1,0.15,1000,0.17397078353253653,0.14751265495526367,0.17032224270838608,0.10832198993403025,0.12588769633507324
0,0.15,500,0.18140770252324037,0.1477018943051493,0.20357673384937258,0.13763737032680984,0.13330032643888146
1,0.15,1000,0.17270916334661354,0.16782066095323234,0.20347611470534716,0.12461707102100883,0.12975498719605427
0,0.15,500,0.18964143426294822,0.24377598819037335,0.3985957954503438,0.254132891135926,0.14310394377493107
1,0.15,1000,0.17197875166002657,0.18223633050096813,0.23630463463482915,0.1520708582121736,0.1187018565736232
0,0.15,500,0.18685258964143425,0.18881690122028888,0.2239572195869629,0.12380023202797136,0.1286936300578524
1,0.15,1000,0.17324037184594954,0.17441804135828598,0.17767819553206365,0.09366572777783805,0.12450153915941664
0,0.15,500,0.17662682602921648,0.18110719301898165,0.2194172953038795,0.12984484057644846,0.12711091189114965
1,0.15,1000,0.16885790172642762,0.17358313355449773,0.18958799863487952,0.10818718293937507,0.12524738371182775
0,0.15,500,0.1795484727755644,0.1215721806200331,0.04289272988022008,0.003670063307878113,0.11996763794488474
1,0.15,1000,0.16706507304116866,0.18549889392067284,0.20439669703493923,0.1156192753438578,0.12198231288076666
0,0.15,500,0.18213811420982737,0.24191747483376413,0.44413840448897546,0.3099241367925417,0.13559276237517337
1,0.15,1000,0.17337317397078353,0.19591726834342413,0.32407798186581604,0.22967855957583777,0.12590701343216248
0,0.15,500,0.17695883134130147,0.18493998189969948,0.33776397351251836,0.2536079435592816,0.12337436748793351
1,0.15,1000,0.17304116865869854,0.20004801793043842,0.35039267175351735,0.2556768881975905,0.12239332775029776
0,0.2,500,0.19349269588313414,0.15368329400675929,0.21002787396588246,0.13020584913840622,0.14459061805704065
1,0.2,1000,0.17609561752988048,0.18285142859561432,0.2329221306183511,0.14238931688840323,0.12813505904482347
0,0.2,500,0.1799468791500664,0.21530700012482895,0.3107713032218593,0.1936822359225226,0.13234056960883844
1,0.2,1000,0.17363877822045154,0.20982926915718947,0.31830564171142184,0.2114990366440827,0.12569703277553723
0,0.2,500,0.18326693227091634,0.1980710945799375,0.3712043129209693,0.27156126492373406,0.13243464768292823
1,0.2,1000,0.17722443559096945,0.18833329177716912,0.3168035859616235,0.22576915673083897,0.12920624523554236
0,0.2,500,0.17675962815405047,0.18588631906416347,0.30189787422407377,0.2133383524186146,0.1267038286426253
1,0.2,1000,0.17270916334661354,0.16338137941364328,0.19669934151541146,0.12313990624059273,0.12552568631309058
0,0.2,500,0.1839973439575033,0.20159047710040381,0.26512906848446016,0.15711640983839725,0.12928941105540936
1,0.2,1000,0.17350597609561752,0.16111307480424486,0.1424297073676024,0.07073540071664763,0.11764551425813385
0,0.2,500,0.18253652058432934,0.18921164800494,0.25525726312639024,0.16095669553783137,0.12228779582113225
1,0.2,1000,0.17191235059760956,0.1494285780022876,0.12204637403313157,0.05975834132559832,0.11769702651703862
0,0.2,500,0.17622841965471447,0.17128873180770257,0.22478848566517157,0.14697960929962628,0.12077983863143005
1,0.2,1000,0.17118193891102257,0.18061890976109363,0.22012040391559196,0.1342991835608583,0.12386319234667442
