,C,checkpoint,train error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,0.1,500,0.125,0.08333333333333334,0.006449867336964066,0.015151515151515138,0.09126984126984117
1,0.1,1000,0.12848605577689243,0.1454183266932271,0.15278621515909652,0.10498960498960497,0.1055776892430278
0,0.1,500,0.13293650793650794,0.15476190476190477,0.158404217614744,0.09064327485380119,0.09126984126984128
1,0.1,1000,0.13745019920318724,0.12749003984063745,0.03652263585828919,0.012987012987012991,0.10358565737051795
0,0.1,500,0.12896825396825398,0.16666666666666669,0.2831119254848069,0.23333333333333334,0.07539682539682535
1,0.1,1000,0.12749003984063745,0.2091633466135458,0.3307771230449579,0.26755282890252213,0.08366533864541825
0,0.1,500,0.09523809523809523,0.16666666666666669,0.1662211159391097,0.09677419354838712,0.11904761904761907
1,0.1,1000,0.12749003984063745,0.1593625498007968,0.12399679259477753,0.0505050505050505,0.1394422310756973
0,0.1,500,0.125,0.16269841269841273,0.11268035898925921,0.06386554621848739,0.09126984126984117
1,0.1,1000,0.14641434262948208,0.14940239043824702,0.07952910159629611,0.015845232611699678,0.1294820717131474
0,0.1,500,0.1111111111111111,0.15873015873015872,0.05577474892395984,0.014808362369338024,0.10317460317460314
1,0.1,1000,0.12450199203187251,0.1852589641434263,0.2358996714943783,0.1838088219812612,0.07768924302788838
0,0.1,500,0.14484126984126985,0.21031746031746035,0.2906692387163068,0.20066472787702533,0.115079365079365
1,0.1,1000,0.13745019920318724,0.1653386454183267,0.18719446645052812,0.1055353648308639,0.1394422310756972
0,0.1,500,0.12103174603174603,0.19047619047619047,0.3843090548175294,0.3266666666666667,0.06746031746031744
1,0.1,1000,0.13346613545816732,0.19322709163346613,0.36588499424545207,0.29592344021874223,0.08764940239043817
0,0.1,500,0.12301587301587301,0.18650793650793654,0.12158730158730158,0.051587301587301515,0.12698412698412698
1,0.1,1000,0.12649402390438247,0.18127490039840638,0.16737835656358696,0.08493506493506497,0.13745019920318735
0,0.1,500,0.1349206349206349,0.2380952380952381,0.42465460504262176,0.3350449293966624,0.04761904761904756
1,0.1,1000,0.150398406374502,0.20318725099601595,0.2568387500526599,0.15968097743085014,0.1055776892430279
0,0.2,500,0.12698412698412698,0.22222222222222224,0.08870386539201469,0.0016722408026755842,0.1428571428571428
1,0.2,1000,0.12450199203187251,0.20916334661354585,0.22682323208454902,0.1511720983419097,0.1055776892430278
0,0.2,500,0.1111111111111111,0.2738095238095238,0.6662508020246667,0.5876840696117804,0.08730158730158732
1,0.2,1000,0.13645418326693226,0.20717131474103584,0.33233192759735086,0.2581699346405229,0.1055776892430279
0,0.2,500,0.12896825396825398,0.16269841269841268,0.1356843109050167,0.06840579710144923,0.13095238095238093
1,0.2,1000,0.1394422310756972,0.15139442231075698,0.11942065980384847,0.046418567426970814,0.13545816733067728
0,0.2,500,0.13690476190476192,0.24206349206349204,0.33805699889781143,0.23510971786833862,0.09920634920634919
1,0.2,1000,0.13645418326693226,0.25697211155378485,0.41467449571137777,0.3163636363636364,0.10159362549800788
0,0.2,500,0.13690476190476192,0.19841269841269843,0.1373250152160681,0.05241935483870963,0.1071428571428571
1,0.2,1000,0.1344621513944223,0.21314741035856574,0.23677708570490708,0.13837166849215043,0.10956175298804782
0,0.2,500,0.09722222222222222,0.20238095238095238,0.17729555236728833,0.12456445993031362,0.07539682539682535
1,0.2,1000,0.11852589641434264,0.14741035856573706,0.1276964431297195,0.07697783201138908,0.0816733067729083
0,0.2,500,0.13293650793650794,0.09523809523809525,0.04864566173864082,0.10552995391705067,0.13888888888888884
1,0.2,1000,0.12749003984063745,0.13745019920318724,0.08969230169468334,0.04124293785310729,0.10358565737051784
0,0.2,500,0.1349206349206349,0.1865079365079365,0.1861179694703412,0.09749999999999998,0.1507936507936508
1,0.2,1000,0.13545816733067728,0.22709163346613548,0.3025381747346177,0.20240137221269294,0.12350597609561753
0,0.2,500,0.1388888888888889,0.14682539682539683,0.1345915406932356,0.06,0.134920634920635
1,0.2,1000,0.14442231075697212,0.13545816733067728,0.1398592506270146,0.07821038251366125,0.10956175298804782
0,0.2,500,0.14087301587301587,0.16666666666666669,0.08468234981392875,0.00694444444444442,0.14682539682539686
1,0.2,1000,0.13147410358565736,0.199203187250996,0.2382992607897717,0.1620414673046252,0.11155378486055767
0,0.3,500,0.13095238095238096,0.21825396825396826,0.36916509335011544,0.29904761904761906,0.10317460317460314
